Population_Members,Peak_Flow (CFS),Total_Runoff_Volume (1000*CF),Total_Costs $,Social_Context_Score,MultiObjectiveRating,,
child4XXTS76gen16,351.4645,3790.1331,24900610.7,1657.307095,3.143040022,,
childCF64HU4gen16,349.4025,3770.478,24969604.25,1657.795124,3.13120707,,
child6IIGP8Sgen17,350.354,3791.6154,24965061.03,1658.045388,3.139984993,,
child6JEJ5VAgen14,351.481,3818.8611,24998576.44,1659.080503,3.151019586,,
child6NNYF4Igen14,350.6805,3785.8518,24962990.41,1659.809763,3.13951988,,
childWBU74O3gen17,352.365,3806.3277,24528579.8,1659.97775,3.150419605,,
child083SYL7gen17,354.1785,3788.6778,24630218.68,1660.094043,3.151310696,,
childNJJU1WZgen17,353.7005,3815.2278,24871886.68,1660.176394,3.157061337,,
childQ70GDFRgen18,356.508,3794.7357,24540898.57,1661.207177,3.160345999,,
childY4WB8LGgen11,350.9615,3795.4053,24995556.35,1661.310693,3.143082503,,
childFC08PPRgen15,351.418,3780.8019,24881174.99,1662.095947,3.140566967,,
childICY83UYgen13,351.502,3807.5103,24818207.91,1662.127024,3.148126736,,
childUDMZSJZgen14,350.7245,3802.9743,24954955.27,1662.281009,3.144448807,,
childSVNVBNRgen12,352.4,3809.6829,24964390.67,1662.437123,3.151559829,,
childKKBS4DWgen15,355.6185,3809.7234,24811632.7,1662.51061,3.161700773,,
child1J96ZJ9gen17,351.3235,3769.587,24936254.24,1662.647763,3.137232393,,
child0J11GT0gen18,353.661,3824.8398,24866040,1663.218957,3.159702871,,
child0F29FP7gen19,354.7185,3768.7428,24852364.2,1663.410059,3.147718927,,
child27BD2L9gen16,353.494,3744.8919,24946513.39,1663.455807,3.137354698,,
childV1DLVRQgen16,351.3255,3781.5219,24851387.86,1663.599488,3.140542134,,
childXRSGWHJgen13,349.8525,3826.3176,24981341.44,1663.952718,3.148157589,,
childRMMB92Pgen19,354.049,3807.0765,24678093.76,1664.06596,3.156111702,,
childTT62QSQgen11,350.5185,3806.532,24995983.9,1664.460383,3.144873111,,
childD8KF62Vgen13,351.508,3825.045,24898472.42,1664.671586,3.153052066,,
childRRAGEJLgen18,353.7495,3814.4916,24764488.92,1664.818197,3.157229239,,
childVR3D7B7gen15,350.6925,3784.2759,24986066.48,1664.894284,3.139362531,,
childO7HDO90gen17,354.6635,3818.0952,24622481.98,1665.352435,3.16111385,,
child01XEJ1Kgen14,352.3765,3778.1271,24873632.84,1665.632773,3.143015902,,
childGOFX42Rgen15,348.571,3783.8799,24981691.74,1666.021449,3.132631589,,
childHT0UQO0gen15,354.524,3816.4941,24783267.82,1666.091626,3.160271882,,
child5MF5HCHgen19,355.352,3808.3653,24670602.1,1666.435956,3.160673013,,
childLH5I4PTgen10,351.8365,3794.1831,24954890.99,1666.46694,3.145740357,,
childXK2GH6Jgen15,352.6835,3794.2758,24866961.03,1666.638563,3.148438561,,
childHXVEYS4gen17,354.8925,3813.6105,24885996.06,1667.137487,3.160692192,,
childZALQ7Y0gen15,352.8485,3776.7861,24661678.78,1667.216417,3.144208025,,
childLREMU45gen11,352.229,3786.1956,24982735.05,1667.822722,3.144856651,,
childXKNCQ0Rgen11,351.052,3777.4746,24786252.43,1667.856604,3.138773284,,
childTGF26XDgen15,352.2825,3794.6655,24893743.89,1667.860251,3.147339838,,
